USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
system         251     1      28888   4780 0                   0 S android.system.suspend-service
keystore       252     1      55408  11076 0                   0 S keystore2
nobody         253     1      26568   5952 0                   0 S android.hardware.security.keymint-service
system         256     1      20036   3468 0                   0 S android.hardware.gatekeeper-service.nonsecure
root           276     2          0      0 0                   0 I [blk_crypto_wq]
root           278     2          0      0 0                   0 I [usbip_event]
root           284     2          0      0 0                   0 S [jbd2/dm-52-8]
root           285     2          0      0 0                   0 I [ext4-rsv-conver]
tombstoned     291     1      12468   2544 0                   0 S tombstoned
root           345     2          0      0 0                   0 I [ext4-rsv-conver]
root           346     2          0      0 0                   0 I [ext4-rsv-conver]
root           347     2          0      0 0                   0 I [ext4-rsv-conver]
root           348     2          0      0 0                   0 I [ext4-rsv-conver]
root           349     2          0      0 0                   0 I [ext4-rsv-conver]
root           350     2          0      0 0                   0 I [ext4-rsv-conver]
root           351     2          0      0 0                   0 I [ext4-rsv-conver]
root           352     2          0      0 0                   0 I [ext4-rsv-conver]
root           353     2          0      0 0                   0 I [ext4-rsv-conver]
root           354     2          0      0 0                   0 I [ext4-rsv-conver]
root           355     2          0      0 0                   0 I [ext4-rsv-conver]
root           356     2          0      0 0                   0 I [ext4-rsv-conver]
root           357     2          0      0 0                   0 I [ext4-rsv-conver]
root           358     2          0      0 0                   0 I [ext4-rsv-conver]
root           359     2          0      0 0                   0 I [ext4-rsv-conver]
root           360     2          0      0 0                   0 I [ext4-rsv-conver]
root           361     2          0      0 0                   0 I [ext4-rsv-conver]
root           362     2          0      0 0                   0 I [ext4-rsv-conver]
root           363     2          0      0 0                   0 I [ext4-rsv-conver]
root           364     2          0      0 0                   0 I [ext4-rsv-conver]
root           365     2          0      0 0                   0 I [ext4-rsv-conver]
root           366     2          0      0 0                   0 I [ext4-rsv-conver]
root           367     2          0      0 0                   0 I [kverityd]
root           368     2          0      0 0                   0 I [kverityd]
root           369     2          0      0 0                   0 I [ext4-rsv-conver]
root           370     2          0      0 0                   0 I [kverityd]
root           371     2          0      0 0                   0 I [ext4-rsv-conver]
root           372     2          0      0 0                   0 I [kverityd]
root           373     2          0      0 0                   0 I [ext4-rsv-conver]
root           374     2          0      0 0                   0 I [ext4-rsv-conver]
root           375     2          0      0 0                   0 I [kverityd]
root           376     2          0      0 0                   0 I [kverityd]
root           377     2          0      0 0                   0 I [kverityd]
root           378     2          0      0 0                   0 I [kverityd]
root           379     2          0      0 0                   0 I [kverityd]
root           380     2          0      0 0                   0 I [kverityd]
root           381     2          0      0 0                   0 I [kverityd]
root           382     2          0      0 0                   0 I [ext4-rsv-conver]
root           383     2          0      0 0                   0 I [ext4-rsv-conver]
root           384     2          0      0 0                   0 I [ext4-rsv-conver]
root           385     2          0      0 0                   0 I [kverityd]
